Id,Probability
1,0.5543131
2,0.27795717
3,0.12127057
4,0.40000504
5,0.19665094
6,0.32138094
7,0.48319688
8,0.12067178
9,0.08564732
10,0.766003
11,0.086013936
12,0.18556006
13,0.013518934
14,0.5846981
15,0.53406864
16,0.104932204
17,0.16976474
18,0.19007023
19,0.65218186
20,0.8049335
21,0.09770208
22,0.23800908
23,0.03210205
24,0.91193557
25,0.57143384
26,0.38754463
27,0.1412897
28,0.2965336
29,0.24882688
30,0.20966735
31,0.5265854
32,0.08999044
33,0.08429344
34,0.5521611
35,0.8304259
36,0.47274923
37,0.40362453
38,0.3536994
39,0.07859621
40,0.09584152
41,0.69742775
42,0.6961039
43,0.6059836
44,0.051781863
45,0.2737027
46,0.15429659
47,0.16719355
48,0.22799289
49,0.11321693
50,0.24486595
51,0.116895914
52,0.14822271
53,0.035096526
54,0.07739048
55,0.21499144
56,0.624016
57,0.05410148
58,0.43119553
59,0.74030465
60,0.605475
61,0.15071185
62,0.087421305
63,0.048027396
64,0.058109775
65,0.07556189
66,0.13287553
67,0.17232794
68,0.2801414
69,0.1035844
70,0.93518996
71,0.53855324
72,0.5937056
73,0.09261518
74,0.5983142
75,0.10987716
76,0.366265
77,0.59340775
78,0.29888132
79,0.08984092
80,0.09634607
81,0.4871817
82,0.21271132
83,0.097273074
84,0.099534445
85,0.110238254
86,0.043674488
87,0.55554146
88,0.09596315
89,0.3489991
90,0.17404915
91,0.3149336
92,0.1419999
93,0.083187036
94,0.17853315
95,0.024349581
96,0.18878691
97,0.32389122
98,0.63459265
99,0.034695204
100,0.08845595
101,0.6547623
102,0.49810654
103,0.17642567
104,0.6101903
105,0.23352173
106,0.13892055
107,0.904656
108,0.07423353
109,0.039858807
110,0.15808532
111,0.43189737
112,0.39650908
113,0.23497634
114,0.85895467
115,0.24982584
116,0.041165404
117,0.08582556
118,0.34272715
119,0.029370919
120,0.04465929
121,0.11213738
122,0.26805753
123,0.101072766
124,0.9723838
125,0.1444786
126,0.08878337
127,0.009974944
128,0.050459307
129,0.18697211
130,0.41178262
131,0.09022309
132,0.40941527
133,0.08105378
134,0.15569143
135,0.4367782
136,0.03565164
137,0.6544844
138,0.12042342
139,0.033977553
140,0.03517804
141,0.025996557
142,0.046818737
143,0.14701776
144,0.063497685
145,0.84239167
146,0.074680716
147,0.03363788
148,0.114974305
149,0.017857593
150,0.4471755
151,0.014504125
152,0.045043387
153,0.29208562
154,0.45696306
155,0.092334576
156,0.06714174
157,0.33991197
158,0.0914024
159,0.6773412
160,0.063821375
161,0.038455162
162,0.08269788
163,0.48226544
164,0.50361156
165,0.029007735
166,0.66072184
167,0.9699981
168,0.4814666
169,0.6807871
170,0.04072145
171,0.013072329
172,0.03766709
173,0.12976974
174,0.53853506
175,0.1971087
176,0.86010754
177,0.20989361
178,0.62513214
179,0.046499737
180,0.05320796
181,0.058639996
182,0.059269268
183,0.15014769
184,0.09722006
185,0.5451717
186,0.44006765
187,0.061816838
188,0.27471215
189,0.13949081
190,0.1666266
191,0.06509661
192,0.4057524
193,0.16234641
194,0.65472555
195,0.017995413
196,0.38844392
197,0.51715815
198,0.020689314
199,0.19032325
200,0.048479
201,0.14676987
202,0.24528636
203,0.88648623
204,0.35394892
205,0.37466893
206,0.2826771
207,0.24321142
208,0.08367856
209,0.77444106
210,0.21069154
211,0.2380687
212,0.18947555
213,0.20242375
214,0.06039877
215,0.46583936
216,0.43009177
217,0.05285678
218,0.44234034
219,0.124392554
220,0.018655175
221,0.057510775
222,0.027653808
223,0.15990299
224,0.35281134
225,0.034987323
226,0.49806252
227,0.082148254
228,0.59846824
229,0.5363074
230,0.58662736
231,0.7036236
232,0.10738365
233,0.13866773
234,0.20456064
235,0.08022523
236,0.7739812
237,0.3513102
238,0.21159644
239,0.056093592
240,0.12308974
241,0.14900923
242,0.10190277
243,0.027086683
244,0.26333144
245,0.68215245
246,0.08720299
247,0.30816326
248,0.12158362
249,0.15479569
250,0.7888116
251,0.07776298
252,0.7178393
253,0.13691635
254,0.57834303
255,0.034272168
256,0.09471545
257,0.38110203
258,0.44620624
259,0.1396655
260,0.4622976
261,0.046141375
262,0.22638561
263,0.012230948
264,0.409109
265,0.6790584
266,0.104074635
267,0.28453323
268,0.50954056
269,0.72027004
270,0.116989724
271,0.18697518
272,0.2924706
273,0.23556659
274,0.08741817
275,0.039315768
276,0.21935654
277,0.34490412
278,0.07213628
279,0.45485172
280,0.23361531
281,0.9719435
282,0.38162497
283,0.3972249
284,0.5005459
285,0.09171079
286,0.21445578
287,0.120291784
288,0.35433942
289,0.3781546
290,0.5198873
291,0.70924246
292,0.023758238
293,0.41161552
294,0.08878355
295,0.01249839
296,0.36395845
297,0.035317983
298,0.46054995
299,0.19903281
300,0.14519735
301,0.41067743
302,0.050132774
303,0.15279788
304,0.060829457
305,0.6980138
306,0.09977828
307,0.20828408
308,0.766003
309,0.8052382
310,0.09971788
311,0.9631159
312,0.048884057
313,0.55457073
314,0.34800747
315,0.42425478
316,0.29401827
317,0.7208372
318,0.05243839
319,0.15074897
320,0.61798877
321,0.84061396
322,0.08709601
323,0.10206926
324,0.028578814
325,0.5597672
326,0.080383494
327,0.043414857
328,0.27464882
329,0.21010861
330,0.19871944
331,0.06209708
332,0.12197525
333,0.058426693
334,0.38939038
335,0.19154157
336,0.39940894
337,0.09839351
338,0.30699307
339,0.21250704
340,0.053178534
341,0.035854988
342,0.07449204
343,0.16811113
344,0.40302378
345,0.5449185
346,0.09406179
347,0.95507085
348,0.101352096
349,0.14942469
350,0.2010058
351,0.30553505
352,0.2805228
353,0.022786804
354,0.52019876
355,0.02997795
356,0.013687495
357,0.9660782
358,0.021460524
359,0.3532966
360,0.62130094
361,0.5359939
362,0.07120599
363,0.03338953
364,0.17375368
365,0.5369229
366,0.59361863
367,0.40057415
368,0.546069
369,0.13010845
370,0.77852654
371,0.017144555
372,0.5637933
373,0.05323409
374,0.047378708
375,0.03897249
376,0.043974828
377,0.28598347
378,0.028682051
379,0.20149276
380,0.18376397
381,0.043911643
382,0.10996564
383,0.44867927
384,0.5853162
385,0.024129603
386,0.01342564
387,0.041228842
388,0.03370397
389,0.27570066
390,0.15834469
391,0.025977422
392,0.0542876
393,0.17192115
394,0.72920775
395,0.039046567
396,0.03403933
397,0.35087892
398,0.5755524
399,0.2895914
400,0.32962993
401,0.048629012
402,0.021145865
403,0.10993466
404,0.08655415
405,0.9492177
406,0.8663093
407,0.23638117
408,0.1325382
409,0.19931538
410,0.21183987
411,0.20779043
412,0.2834686
413,0.38976616
414,0.044300307
415,0.055272404
416,0.5865891
417,0.8065743
418,0.7676903
419,0.097386435
420,0.06967625
421,0.09484631
422,0.3387791
423,0.40853423
424,0.013477948
425,0.017779324
426,0.051234335
427,0.12234535
428,0.16172428
429,0.2229268
430,0.079927854
431,0.81027293
432,0.12565413
433,0.06286246
434,0.3886924
435,0.1634216
436,0.35833108
437,0.63723844
438,0.38705364
439,0.045073494
440,0.19364372
441,0.15589733
442,0.33307126
443,0.30271247
444,0.038059387
445,0.26641646
446,0.75188416
447,0.016267821
448,0.14463507
449,0.2978466
450,0.023093222
451,0.12454195
452,0.18805644
453,0.7116186
454,0.15073319
455,0.8030686
456,0.077110626
457,0.3738996
458,0.09168109
459,0.2530228
460,0.08684452
461,0.18809006
462,0.53031105
463,0.12920205
464,0.5669379
465,0.29558235
466,0.035050098
467,0.0714505
468,0.08453909
469,0.15381218
470,0.66424197
471,0.14701776
472,0.061081145
473,0.773697
474,0.68070245
475,0.16054972
476,0.12824091
477,0.07251293
478,0.11266211
479,0.1353248
480,0.15504412
481,0.4821464
482,0.010130986
483,0.5115983
484,0.6922129
485,0.16905841
486,0.7994467
487,0.30344126
488,0.6196643
489,0.35272276
490,0.30806938
491,0.035523012
492,0.21743515
493,0.85551226
494,0.23933852
495,0.85611
496,0.10647623
497,0.44740942
498,0.04537758
499,0.6162118
500,0.09438768
501,0.07021566
502,0.12974936
503,0.6169106
504,0.04867985
505,0.026532704
506,0.42696214
507,0.6319562
508,0.029885795
509,0.0405606
510,0.13713852
511,0.04655334
512,0.5972204
513,0.5016309
514,0.3475183
515,0.21233253
516,0.71356624
517,0.036891043
518,0.09047559
519,0.07300358
520,0.09428417
521,0.018894628
522,0.32278562
523,0.49526685
524,0.28493267
525,0.6028065
526,0.8996154
527,0.7849378
528,0.06779034
529,0.5933689
530,0.031057453
531,0.033261664
532,0.019397128
533,0.13002388
534,0.09954736
535,0.035964593
536,0.10787274
537,0.06359529
538,0.45426872
539,0.26037008
540,0.020336522
541,0.108194314
542,0.42923254
543,0.5333467
544,0.32792366
545,0.06649915
546,0.026364585
547,0.21918175
548,0.18805222
549,0.013827274
550,0.43896082
551,0.7459602
552,0.425311
553,0.03351861
554,0.05588782
555,0.5262847
556,0.047993615
557,0.27384755
558,0.15681532
559,0.6457721
560,0.37648398
561,0.02000612
562,0.018258909
563,0.66741604
564,0.384023
565,0.55480266
566,0.22318001
567,0.037154622
568,0.18847704
569,0.9186753
570,0.14820766
571,0.4297871
572,0.064487524
573,0.1510803
574,0.36383215
575,0.70882994
576,0.2929297
577,0.039132025
578,0.2922137
579,0.5572696
580,0.26655182
581,0.065835066
582,0.0875019
583,0.054491397
584,0.33174613
585,0.5471684
586,0.04708056
587,0.12794714
588,0.56774735
589,0.086504646
590,0.050877795
591,0.24847454
592,0.11950465
593,0.52484435
594,0.1679879
595,0.48696244
596,0.3207116
597,0.46205437
598,0.34819707
599,0.124280885
600,0.021142129
601,0.4190262
602,0.3095442
603,0.058278978
604,0.027105644
605,0.38976616
606,0.06025706
607,0.36297596
608,0.16611601
609,0.26582906
610,0.089667484
611,0.65928555
612,0.2048988
613,0.1422201
614,0.39860708
615,0.12910296
616,0.09037881
617,0.40000817
618,0.035261784
619,0.26774803
620,0.52925074
621,0.21648425
622,0.16320664
623,0.2554677
624,0.14331245
625,0.24264437
626,0.93234164
627,0.56889313
628,0.11631154
629,0.17694342
630,0.5723628
631,0.05028288
632,0.51310766
633,0.08255813
634,0.45618078
635,0.535956
636,0.1644313
637,0.06381559
638,0.26948798
639,0.5133083
640,0.030980913
641,0.039839342
642,0.9029914
643,0.74071753
644,0.92727405
645,0.70768356
646,0.79022187
647,0.059870254
648,0.23214509
649,0.07442206
650,0.48413974
651,0.7200895
652,0.087356016
653,0.77057415
654,0.9295076
655,0.09257884
656,0.31529737
657,0.07097024
658,0.060592625
659,0.6407326
660,0.6939609
661,0.43093854
662,0.5959202
663,0.5653555
664,0.7296103
665,0.9538359
666,0.035854988
667,0.17764841
668,0.7063866
669,0.8267608
670,0.3727218
671,0.25209317
672,0.6011743
673,0.33944973
674,0.095196255
675,0.79272276
676,0.8140046
677,0.31325775
678,0.5206473
679,0.40902033
680,0.6878636
681,0.1775035
682,0.13852759
683,0.63043916
684,0.09644239
685,0.47786126
686,0.060524553
687,0.07884593
688,0.009980978
689,0.29755995
690,0.3694214
691,0.27207178
692,0.6398298
693,0.34983942
694,0.37905064
695,0.35774678
696,0.24937963
697,0.016478606
698,0.2155535
699,0.6146941
700,0.3410366
701,0.045472536
702,0.61601925
703,0.28009647
704,0.8451494
705,0.09122093
706,0.35666245
707,0.39069262
708,0.16946869
709,0.061094563
710,0.16612248
711,0.42215863
712,0.4443967
713,0.08163084
714,0.055489607
715,0.21366306
716,0.9094086
717,0.027954588
718,0.36204514
719,0.2504982
720,0.011276941
721,0.13309136
722,0.14920934
723,0.076121025
724,0.22405015
725,0.6795221
726,0.34741557
727,0.06270695
728,0.44686925
729,0.20624432
730,0.8803057
731,0.16591807
732,0.28119662
733,0.16999412
734,0.09188709
735,0.3594531
736,0.3874925
737,0.08880273
738,0.5239076
739,0.028359553
740,0.02657616
741,0.044533018
742,0.34299105
743,0.51911694
744,0.49300238
745,0.62694967
746,0.4508642
747,0.0437501
748,0.62737614
749,0.14953737
750,0.55076283
751,0.74764824
752,0.013116801
753,0.120812535
754,0.16719355
755,0.1298492
756,0.04042602
757,0.42288452
758,0.29217476
759,0.08298215
760,0.11190469
761,0.13069056
762,0.494985
763,0.4423025
764,0.050051134
765,0.056159534
766,0.3765624
767,0.026581582
768,0.4309916
769,0.06027026
770,0.2410002
771,0.032605074
772,0.7623388
773,0.7192157
774,0.19032325
775,0.24317676
776,0.045351323
777,0.6761441
778,0.04317971
779,0.06124136
780,0.80529505
781,0.12058667
782,0.09132293
783,0.06472896
784,0.68025786
785,0.65658206
786,0.26669028
787,0.19117454
788,0.33053303
789,0.18567154
790,0.5626408
791,0.06897966
792,0.68143487
793,0.6730926
794,0.13408378
795,0.6560585
796,0.07332094
797,0.5600768
798,0.2085799
799,0.8323014
800,0.26069665
801,0.2847269
802,0.046627536
803,0.4314533
804,0.09832828
805,0.8304812
806,0.14089265
807,0.087397516
808,0.2507749
809,0.26578724
810,0.3081153
811,0.3109632
812,0.037155733
813,0.19066398
814,0.1584825
815,0.75838506
816,0.3014635
817,0.023980336
818,0.15470505
819,0.027607555
820,0.7475313
821,0.49774274
822,0.7959688
823,0.021268649
824,0.21825333
825,0.10351263
826,0.122636825
827,0.23287003
828,0.270676
829,0.060878973
